
Unordered Signature Table
---------------------
      Null-s -- 1791
---------------------
aborigine	aborigines



---------------------
      de-emnt -- 33
---------------------
abandoned	abandonment
accompanied	accompaniment
accomplished	accomplishment
adjusted	adjustment
amended	amendment
appointed	appointment
apportioned	apportionment
argued	argument
assessed	assessment
assigned	assignment
astonished	astonishment
attached	attachment
attained	attainment
departed	department
developed	development
disappointed	disappointment
embarrassed	embarrassment
embodied	embodiment
employed	employment
enacted	enactment
enjoyed	enjoyment
enrolled	enrollment
entertained	entertainment
established	establishment
fulfilled	fulfillment
governed	government
installed	installment
invested	investment
judged	judgment
punished	punishment
resented	resentment
treated	treatment
unemployed	unemployment



---------------------
      al-de -- 32
---------------------
approval	approved
arrival	arrived
betrayal	betrayed
burial	buried
causal	caused
conceal	concede
continual	continued
denial	denied
design	signal
dismissal	dismissed
disposal	disposed
experimental	experimented
formal	formed
informal	informed
latest	tested
occasional	occasioned
oriental	oriented
portrayal	portrayed
postal	posted
practical	practiced
proposal	proposed
referral	referred
refusal	refused
removal	removed
renewal	renewed
rental	rented
revival	revived
seasonal	seasoned
several	severed
signal	signed
structural	structured
survival	survived



---------------------
      s-t -- 32
---------------------
angles	tangle
bridges	bridget
burns	burnt
closes	closet
deals	dealt
errors	terror
event	seven
guess	guest
hears	heart
heart	shear
issues	tissue
means	meant
pains	paint
paint	spain
planes	planet
plans	plant
races	trace
rails	trail
rains	train
reads	tread
reasons	treason
rifles	trifle
sales	tales
scots	scott
seams	teams
selling	telling
sells	tells
sense	tense
shrill	thrill
stars	start
sucked	tucked
tweed	weeds



---------------------
      Null-epr -- 32
---------------------
aching	preaching
caution	precaution
cent	percent
diction	prediction
eating	repeating
form	perform
formed	performed
former	performer
forming	performing
itch	pitcher
lace	replace
last	plaster
lied	replied
lies	replies
mission	permission
occupation	preoccupation
occupied	preoccupied
persons	sons
perverse	verse
preacher	reach
present	sent
preserve	serve
preserved	served
preserves	serves
preserving	serving
presiding	siding
pretend	tend
pretended	tended
pretense	tense
prevent	vent
represent	resent
represented	resented



---------------------
      acen-de -- 31
---------------------
acceptance	accepted
acquaintance	acquainted
alliance	allied
allowance	allowed
ancestor	stored
annoyance	annoyed
appearance	appeared
appliance	applied
assistance	assisted
assurance	assured
attendance	attended
avoidance	avoided
compliance	complied
continuance	continued
disappearance	disappeared
disturbance	disturbed
endurance	endured
guidance	guided
hurricane	hurried
ignorance	ignored
importance	imported
inheritance	inherited
insurance	insured
issuance	issued
observance	observed
performance	performed
reassurance	reassured
reliance	relied
resemblance	resembled
resistance	resisted
utterance	uttered



---------------------
      gn-nos -- 31
---------------------
acting	actions
calculating	calculations
collecting	collections
communicating	communications
comparing	comparison
completing	completions
concentrating	concentrations
connecting	connections
contributing	contributions
directing	directions
discussing	discussions
editing	editions
evaluating	evaluations
expressing	expressions
generating	generations
indicating	indications
investigating	investigations
locating	locations
milling	millions
missing	missions
negotiating	negotiations
noting	notions
operating	operations
passing	passions
possessing	possessions
projecting	projections
reflecting	reflections
relating	relations
selecting	selections
stating	stations
suggesting	suggestions



---------------------
      Null-flu -- 31
---------------------
care	careful
cheer	cheerful
color	colorful
delight	delightful
doubt	doubtful
dread	dreadful
faith	faithful
fear	fearful
fill	fulfill
filled	fulfilled
flushed	shed
force	forceful
fruit	fruitful
fullest	lest
grace	graceful
hand	handful
help	helpful
hope	hopeful
meaning	meaningful
mind	mindful
pain	painful
peace	peaceful
power	powerful
skill	skillful
success	successful
thank	thankful
thought	thoughtful
waste	wasteful
wish	wishful
wonder	wonderful
youth	youthful



---------------------
      Null-rs -- 31
---------------------
advise	advisers
believe	believers
compose	composers
compute	computers
dance	dancers
dodge	dodgers
drive	drivers
evolution	revolutions
facto	factors
howe	shower
invade	invaders
late	slater
love	lovers
make	makers
manage	managers
manufacture	manufacturers
merge	mergers
mine	miners
observe	observers
office	officers
outside	outsiders
produce	producers
receive	receivers
ride	riders
rule	rulers
settle	settlers
some	somers
strange	strangers
trade	traders
vote	voters
write	writers



---------------------
      Null-enss -- 31
---------------------
aggressive	aggressiveness
aware	awareness
bitter	bitterness
black	blackness
blind	blindness
bright	brightness
conscious	consciousness
cool	coolness
dark	darkness
effective	effectiveness
fair	fairness
forgive	forgiveness
good	goodness
great	greatness
helpless	helplessness
kind	kindness
polite	politeness
rich	richness
righteous	righteousness
serious	seriousness
sick	sickness
smooth	smoothness
soft	softness
still	stillness
thick	thickness
tough	toughness
unique	uniqueness
unwilling	unwillingness
useful	usefulness
weak	weakness
willing	willingness



---------------------
      Null-ims -- 31
---------------------
capital	capitalism
catholic	catholicism
chief	mischief
critic	criticism
deeds	misdeeds
fortune	misfortune
human	humanism
imports	port
improves	prove
impulses	pulse
individual	individualism
journal	journalism
leading	misleading
liberal	liberalism
material	materialism
misplaced	placed
missing	sing
mistake	take
mistaken	taken
mistakes	stake
mistakes	takes
misunderstanding	understanding
misunderstood	understood
national	nationalism
neutral	neutralism
organ	organism
patriot	patriotism
protestant	protestantism
real	realism
social	socialism
symbol	symbolism



---------------------
      e-inos -- 30
---------------------
accommodate	accommodations
appropriate	appropriations
associate	associations
communicate	communications
compare	comparison
complete	completions
composite	compositions
concentrate	concentrations
contribute	contributions
converse	conversions
corporate	corporations
definite	definitions
deliberate	deliberations
distribute	distributions
equate	equations
evaluate	evaluations
formulate	formulations
generate	generations
illustrate	illustrations
indicate	indications
institute	institutions
investigate	investigations
locate	locations
negotiate	negotiations
operate	operations
relate	relations
revise	revisions
state	stations
tense	tensions
verse	versions



---------------------
      er-ly -- 29
---------------------
brighter	brightly
broader	broadly
clearer	clearly
colder	coldly
cooler	coolly
deeper	deeply
easier	easily
firmer	firmly
greater	greatly
happier	happily
harder	hardly
heavier	heavily
higher	highly
lighter	lightly
louder	loudly
mainly	remain
narrower	narrowly
nearer	nearly
opener	openly
publicly	republic
quicker	quickly
restrict	strictly
richer	richly
shorter	shortly
singer	singly
slower	slowly
softer	softly
stronger	strongly
supper	supply



---------------------
      ev-nos -- 29
---------------------
actions	active
attractions	attractive
collections	collective
communications	communicative
conclusions	conclusive
decisions	decisive
decorations	decorative
definitions	definitive
descriptions	descriptive
distinctions	distinctive
divisions	divisive
expressions	expressive
extensions	extensive
illustrations	illustrative
impressions	impressive
indications	indicative
motions	motive
nations	native
objections	objective
operations	operative
passions	passive
positions	positive
productions	productive
reflections	reflective
relations	relative
representations	representative
restrictions	restrictive
selections	selective
suggestions	suggestive



---------------------
      Null-amn -- 29
---------------------
aged	managed
black	blackman
business	businessman
chair	chairman
chap	chapman
chester	manchester
clergy	clergyman
congress	congressman
council	councilman
date	mandate
english	englishman
fisher	fisherman
fore	foreman
free	freeman
french	frenchman
fresh	freshman
gentle	gentleman
hart	hartman
hood	manhood
kind	mankind
manpower	power
newspaper	newspaperman
patrol	patrolman
police	policeman
rifle	rifleman
sales	salesman
sand	sandman
sports	sportsman
states	statesman



---------------------
      de-eiv -- 28
---------------------
attracted	attractive
collected	collective
concede	conceive
constructed	constructive
created	creative
decorated	decorative
detected	detective
effected	effective
executed	executive
expressed	expressive
illustrated	illustrative
impressed	impressive
indicated	indicative
initiated	initiative
objected	objective
operated	operative
passed	passive
prevented	preventive
progressed	progressive
protected	protective
reflected	reflective
related	relative
respected	respective
restricted	restrictive
selected	selective
subjected	subjective
suggested	suggestive
supported	supportive



---------------------
      abel-de -- 28
---------------------
acceptable	accepted
admirable	admired
allowable	allowed
attributable	attributed
comparable	compared
conceivable	conceived
considerable	considered
dependable	depended
desirable	desired
detectable	detected
fashionable	fashioned
favorable	favored
honorable	honored
identifiable	identified
measurable	measured
obtainable	obtained
practicable	practiced
predictable	predicted
questionable	questioned
recognizable	recognized
reliable	relied
remarkable	remarked
reputable	reputed
respectable	respected
suitable	suited
valuable	valued
variable	varied
workable	worked



---------------------
      p-s -- 28
---------------------
articles	particle
assess	passes
grasp	grass
layers	player
leads	plead
lights	plight
paint	saint
paved	saved
paying	saying
pending	sending
phone	shone
plate	slate
plight	slight
plowed	slowed
plowing	slowing
polar	solar
pound	sound
praise	raises
prefer	refers
preference	references
preservation	reservations
preserve	reserves
president	residents
pride	rides
proof	roofs
prose	roses
purely	surely
slump	slums



---------------------
      Null-der -- 28
---------------------
assure	reassured
coats	redcoats
deliver	live
each	reached
ever	revered
fine	refined
fuse	refused
head	redhead
incur	incurred
late	related
lease	released
maine	remained
move	removed
occur	occurred
place	replaced
prefer	preferred
produce	reproduced
refer	referred
remain	remainder
reserved	serve
resolved	solve
restored	store
retired	tire
reversed	verse
spur	spurred
stir	stirred
tape	tapered
transfer	transferred



---------------------
      Null-f -- 28
---------------------
action	faction
actions	factions
actor	factor
actors	factors
acts	facts
actual	factual
allen	fallen
arms	farms
ears	fears
ever	fever
fills	ills
flash	lash
flies	lies
flight	light
flights	lights
flock	lock
flower	lower
flowering	lowering
flung	lung
flush	lush
flying	lying
fought	ought
frail	rail
frank	rank
franks	ranks
freed	reed
frigid	rigid
futility	utility



---------------------
      Null-deer -- 27
---------------------
both	bothered
call	recalled
cent	centered
commend	recommended
cord	recorded
cover	recovered
designer	sign
fresh	refreshed
hears	rehearsed
main	remained
mark	remarked
mast	mastered
member	remembered
mind	reminded
pair	repaired
port	reported
present	represented
quest	requested
resented	sent
resigned	sign
resorted	sort
restrained	strain
restricted	strict
retreated	treat
returned	turn
reviewed	view
show	showered



---------------------
      b-s -- 27
---------------------
badly	sadly
beating	seating
bending	sending
betting	setting
billy	silly
bitter	sitter
black	lacks
black	slack
blake	lakes
block	locks
blowing	slowing
boiled	soiled
border	orders
borrow	sorrow
bother	others
bought	sought
bound	sound
bounded	sounded
brace	races
brain	rains
bread	reads
bride	rides
bright	rights
bring	rings
brisk	risks
broad	roads
buffer	suffer



---------------------
      gins-s -- 26
---------------------
bearings	bears
buildings	builds
coatings	coats
dealings	deals
drawings	draws
feelings	feels
findings	finds
groupings	groups
happenings	happens
hearings	hears
hears	shearing
loadings	loads
meanings	means
meetings	meets
openings	opens
paintings	paints
peaks	speaking
proceedings	proceeds
readings	reads
recordings	records
steaming	teams
stockings	stocks
straining	trains
swelling	wells
swinging	wings
workings	works



---------------------
      Null-im -- 26
---------------------
ages	images
immature	mature
immigration	migration
immoral	moral
impact	pact
impaired	paired
impartial	partial
impatience	patience
impatient	patient
impatiently	patiently
impersonal	personal
import	port
impose	pose
imposed	posed
imposition	position
impossible	possible
impractical	practical
impressed	pressed
improve	prove
improved	proved
improves	proves
improving	proving
impulse	pulse
mistake	stake
mistakes	stakes
mistress	stress



---------------------
      Null-otu -- 26
---------------------
black	blackout
board	outboard
ching	touching
come	outcome
comes	outcomes
door	outdoor
doors	outdoors
fall	fallout
going	outgoing
lets	outlets
line	outline
lined	outlined
lines	outlines
look	outlook
outputs	puts
outraged	raged
outreach	reach
outright	right
outside	side
outspoken	spoken
outstanding	standing
outward	ward
ring	touring
through	throughout
with	without
work	workout



---------------------
      ino-or -- 26
---------------------
acceleration	accelerator
administration	administrator
collection	collector
contraction	contractor
coordination	coordinator
creation	creator
decoration	decorator
direction	director
distribution	distributor
edition	editor
education	educator
faction	factor
generation	generator
indication	indicator
inspection	inspector
instruction	instructor
invention	inventor
legislation	legislator
operation	operator
profession	professor
prosecution	prosecutor
reaction	reactor
refrigeration	refrigerator
section	sector
succession	successor
supervision	supervisor



---------------------
      de-y -- 26
---------------------
assembled	assembly
battered	battery
chilled	chilly
counted	county
curled	curly
decade	decay
delivered	delivery
depart	party
destined	destiny
discovered	discovery
filled	filly
handed	handy
injured	injury
inquired	inquiry
mastered	mastery
needed	needy
parted	party
phoned	phony
recovered	recovery
rocked	rocky
singled	singly
smoked	smoky
stored	story
treated	treaty
united	unity
willed	willy



---------------------
      es-ino -- 26
---------------------
associates	association
completes	completion
complexes	complexion
concentrates	concentration
constitutes	constitution
contributes	contribution
coordinates	coordination
creates	creation
delegates	delegation
demonstrates	demonstration
dominates	domination
expresses	expression
generates	generation
graduates	graduation
illustrates	illustration
indicates	indication
misses	mission
operates	operation
participates	participation
passes	passion
possesses	possession
processes	procession
relates	relation
states	station
successes	succession
verses	version



---------------------
      d-emnt -- 26
---------------------
achieved	achievement
advanced	advancement
agreed	agreement
amazed	amazement
amused	amusement
announced	announcement
arranged	arrangement
based	basement
confined	confinement
encouraged	encouragement
enforced	enforcement
engaged	engagement
excited	excitement
improved	improvement
involved	involvement
managed	management
measured	measurement
moved	movement
paved	pavement
placed	placement
refined	refinement
replaced	replacement
required	requirement
retired	retirement
settled	settlement
stated	statement



---------------------
      Null-opr -- 26
---------------------
claim	proclaim
claimed	proclaimed
creation	procreation
ducts	products
file	profile
fits	profits
found	profound
gram	program
grams	programs
longed	prolonged
motion	promotion
portable	table
portion	proportion
portions	proportions
portraits	traits
portray	tray
pose	propose
posed	proposed
position	proposition
protest	test
protested	tested
protesting	testing
protests	tests
province	vince
provision	vision
provisions	visions



---------------------
      Null-abel -- 26
---------------------
accept	acceptable
agree	agreeable
allow	allowable
betrayal	tray
change	changeable
comfort	comfortable
commend	commendable
consider	considerable
depend	dependable
detect	detectable
fashion	fashionable
favor	favorable
honor	honorable
notice	noticeable
obtain	obtainable
port	portable
predict	predictable
prefer	preferable
profit	profitable
question	questionable
reason	reasonable
remark	remarkable
respect	respectable
suit	suitable
understand	understandable
work	workable



---------------------
      dei-y -- 26
---------------------
accompanied	accompany
applied	apply
carried	carry
certified	certify
clarified	clarify
classified	classify
complied	comply
emptied	empty
hurried	hurry
identified	identify
implied	imply
justified	justify
married	marry
modified	modify
multiplied	multiply
occupied	occupy
qualified	qualify
replied	reply
satisfied	satisfy
simplified	simplify
specified	specify
studied	study
supplied	supply
testified	testify
verified	verify
worried	worry



---------------------
      Null-est -- 26
---------------------
aching	teachings
blank	blankets
bull	bullets
cabin	cabinets
deep	deepest
each	teaches
earn	earnest
fast	fastest
full	fullest
great	greatest
hard	hardest
high	highest
jack	jackets
long	longest
mark	markets
near	nearest
opera	operates
plan	planets
rang	strange
rich	richest
rock	rockets
slight	slightest
small	smallest
stewart	wart
strong	strongest
young	youngest



---------------------
      de-or -- 26
---------------------
accelerated	accelerator
collected	collector
conducted	conductor
contracted	contractor
coordinated	coordinator
created	creator
decorated	decorator
dictated	dictator
directed	director
distributed	distributor
edited	editor
educated	educator
elevated	elevator
generated	generator
governed	governor
indicated	indicator
instructed	instructor
invented	inventor
operated	operator
pasted	pastor
professed	professor
prosecuted	prosecutor
reacted	reactor
refrigerated	refrigerator
sailed	sailor
visited	visitor



---------------------
      Null-l -- 26
---------------------
abel	label
bacteria	bacterial
barre	barrel
capita	capital
earn	learn
earned	learned
earning	learning
ease	easel
ease	lease
east	least
edge	ledge
emma	lemma
ending	lending
ever	lever
grave	gravel
idea	ideal
imitation	limitation
ions	lions
knee	kneel
lover	over
marshal	marshall
mode	model
papa	papal
pear	pearl
vagina	vaginal
vita	vital



---------------------
      al-e -- 25
---------------------
agricultural	agriculture
approval	approve
architectural	architecture
arrival	arrive
brutal	brute
causal	cause
continual	continue
cultural	culture
disposal	dispose
ending	landing
natural	nature
practical	practice
procedural	procedure
proposal	propose
refusal	refuse
removal	remove
revival	revive
several	severe
spiral	spire
structural	structure
survival	survive
tribal	tribe
tribunal	tribune
universal	universe
virtual	virtue



---------------------
      Null-eiv -- 25
---------------------
attract	attractive
collect	collective
construct	constructive
detect	detective
distinct	distinctive
effect	effective
excess	excessive
express	expressive
mass	massive
object	objective
pass	passive
prevent	preventive
product	productive
progress	progressive
prospect	prospective
protect	protective
reflect	reflective
respect	respective
restrict	restrictive
select	selective
subject	subjective
success	successive
suggest	suggestive
support	supportive
viewing	wing



---------------------
      f-s -- 25
---------------------
actions	faction
actors	factor
airways	fairway
failed	sailed
failing	sailing
faint	saint
fewer	sewer
fight	sight
filly	silly
finger	singer
fitting	sitting
flight	lights
flight	slight
flock	locks
flowed	slowed
flower	slower
flowing	slowing
flung	lungs
fought	sought
found	sound
founded	sounded
founder	sounder
frail	rails
frank	ranks
funny	sunny



---------------------
      n-s -- 25
---------------------
arrows	narrow
basin	basis
blown	blows
drawn	draws
driven	drives
given	gives
grown	grows
haven	shave
known	knows
linen	lines
mistaken	mistakes
nailed	sailed
nerve	serve
newer	sewer
night	sight
proven	proves
ration	ratios
risen	rises
shaken	shakes
shown	shows
stake	taken
staten	states
taken	takes
texan	texas
thrown	throws



---------------------
      Null-dep -- 24
---------------------
crop	cropped
depended	ended
depending	ending
depends	ends
drop	dropped
grip	gripped
handicap	handicapped
inch	pinched
itch	pitched
lead	pleaded
lung	plunged
preached	reach
presented	resent
ship	shipped
skip	skipped
slip	slipped
slum	slumped
snap	snapped
step	stepped
stop	stopped
strip	stripped
trap	trapped
whip	whipped
wrap	wrapped



---------------------
      Null-deen -- 24
---------------------
black	blackened
broad	broadened
counter	encountered
dark	darkened
engulfed	gulf
enjoined	join
enlisted	list
enrolled	roll
fast	fastened
hard	hardened
height	heightened
less	lessened
less	needless
list	listened
sharp	sharpened
short	shortened
soft	softened
stiff	stiffened
straight	straightened
strength	strengthened
thick	thickened
threat	threatened
tight	tightened
weak	weakened



---------------------
      s-w -- 24
---------------------
heels	wheel
holes	whole
rights	wright
sailing	wailing
sales	wales
sally	wally
salter	walter
saved	waved
saves	waves
saving	waving
seeds	weeds
seeks	weeks
sells	wells
shining	whining
shipped	whipped
shipping	whipping
silly	willy
sings	wings
sinking	winking
sinner	winner
sorry	worry
sound	wound
sounded	wounded
sounds	wounds



---------------------
      Null-w -- 24
---------------------
aged	waged
ages	wages
ally	wally
alter	walter
anna	wanna
ants	wants
armed	warmed
arts	warts
ashes	washes
ears	wears
eight	weight
heat	wheat
heel	wheel
heels	wheels
here	where
hereby	whereby
hole	whole
hose	whose
inner	winner
inning	winning
itch	witch
oven	woven
right	wright
rite	write



---------------------
      e-ity -- 24
---------------------
active	activity
continue	continuity
creative	creativity
dense	density
diverse	diversity
divine	divinity
equal	quality
fertile	fertility
futile	futility
grave	gravity
hostile	hostility
humane	humanity
intense	intensity
mature	maturity
mobile	mobility
morale	morality
obscure	obscurity
productive	productivity
secure	security
sensitive	sensitivity
serene	serenity
severe	severity
sincere	sincerity
universe	university



---------------------
      co-i -- 24
---------------------
compact	impact
compelled	impelled
comply	imply
compose	impose
composed	imposed
compressed	impressed
computed	imputed
conclude	include
concluded	included
conference	inference
conform	inform
conforms	informs
conquest	inquest
constant	instant
constantly	instantly
constructed	instructed
consult	insult
contact	intact
contend	intend
contended	intended
contends	intends
content	intent
converse	inverse
conversely	inversely



---------------------
      de-gins -- 24
---------------------
dealing	signaling
depend	spending
earned	earnings
elected	selecting
furnished	furnishings
gathered	gatherings
greeted	greetings
grouped	groupings
happened	happenings
hopped	shopping
loaded	loadings
opened	openings
painted	paintings
peaked	speaking
prayed	spraying
proceeded	proceedings
recorded	recordings
revered	reversing
stopping	topped
straining	trained
stumbling	tumbled
surrounded	surroundings
warned	warnings
worked	workings



---------------------
      Null-ss -- 23
---------------------
ample	samples
core	scores
crew	screws
elect	selects
election	selections
hell	shells
kill	skills
lack	slacks
mile	smiles
needle	needless
pace	spaces
park	sparks
peak	speaks
port	sports
posse	possess
prince	princess
stakes	take
starts	tart
stones	tone
stores	tore
strains	train
strays	tray
strips	trip



---------------------
      al-es -- 23
---------------------
arrival	arrives
arterial	arteries
causal	causes
colonial	colonies
continual	continues
cultural	cultures
denial	denies
industrial	industries
landing	sending
marshal	marshes
memorial	memories
partial	parties
practical	practices
procedural	procedures
proposal	proposes
refusal	refuses
removal	removes
serial	series
special	species
structural	structures
territorial	territories
tribal	tribes
virtual	virtues



---------------------
      Null-ex -- 23
---------------------
ample	example
change	exchange
changed	exchanged
changes	exchanges
cited	excited
claimed	exclaimed
explain	plain
explains	plains
export	port
expose	pose
exposed	posed
exposition	position
express	press
expressed	pressed
expresses	presses
expressing	pressing
extend	tend
extended	tended
extends	tends
extension	tension
extensions	tensions
extent	tent
extract	tract



---------------------
      in-s -- 23
---------------------
actions	inaction
actives	inactive
bulletin	bullets
comes	income
completes	incomplete
decisions	indecision
deeds	indeed
differences	indifference
directs	indirect
fields	infield
formations	information
forms	inform
humans	inhuman
inquire	squire
inside	sides
insight	sights
intake	stake
intake	takes
intend	tends
intent	tents
inverse	verses
martin	smart
rankin	ranks



---------------------
      a-s -- 23
---------------------
aboard	boards
abreast	breasts
abuse	buses
aerial	serial
again	gains
ahead	heads
aiding	siding
alice	slice
alike	likes
alive	lives
americana	americans
amount	mounts
apart	parts
arise	rises
arose	roses
around	rounds
ashore	shores
aside	sides
christiana	christians
indiana	indians
kinda	kinds
maria	maris
roberta	roberts



---------------------
      Null-ps -- 22
---------------------
article	particles
elman	spelman
ending	spending
ends	spends
here	sphere
inning	spinning
lace	places
lane	planes
late	plates
layer	players
preferences	reference
prefers	refer
presents	resent
preserves	reserve
presidents	resident
prices	rice
rang	sprang
read	spread
reading	spreading
reads	spreads
ring	spring
rings	springs



---------------------
      de-ly -- 22
---------------------
calmed	calmly
cleared	clearly
cooled	coolly
corrected	correctly
delight	lightly
depart	partly
directed	directly
lighted	lightly
manifested	manifestly
narrowed	narrowly
opened	openly
ordered	orderly
parted	partly
perfected	perfectly
presented	presently
prompted	promptly
slowed	slowly
smoothed	smoothly
totaled	totally
uniformed	uniformly
uttered	utterly
warmed	warmly



---------------------
      ally-s -- 22
---------------------
accidentally	accidents
additionally	additions
characteristically	characteristics
critically	critics
economically	economics
emotionally	emotions
exceptionally	exceptions
experimentally	experiments
formally	forms
incidentally	incidents
informally	informs
mathematically	mathematics
nationally	nations
normally	norms
occasionally	occasions
originally	origins
personally	persons
physically	physics
politically	politics
professionally	professions
traditionally	traditions
verbally	verbs



---------------------
      abel-s -- 22
---------------------
acceptable	accepts
agreeable	agrees
allowable	allows
betrayal	stray
changeable	changes
comfortable	comforts
considerable	considers
dependable	depends
fashionable	fashions
favorable	favors
honorable	honors
noticeable	notices
portable	sport
preferable	prefers
profitable	profits
questionable	questions
reasonable	reasons
remarkable	remarks
respectable	respects
suitable	suits
understandable	understands
workable	works



---------------------
      Null-ci -- 22
---------------------
artist	artistic
atom	atomic
cities	ties
class	classic
democrat	democratic
dialect	dialectic
diplomat	diplomatic
electron	electronic
formula	formulaic
german	germanic
graph	graphic
hero	heroic
homer	homeric
iron	ironic
linguist	linguistic
organ	organic
patriot	patriotic
period	periodic
photograph	photographic
poet	poetic
rhythm	rhythmic
symbol	symbolic



---------------------
      f-w -- 22
---------------------
failing	wailing
falls	walls
farming	warming
fearing	wearing
fears	wears
feather	weather
feeds	weeds
filled	willed
filling	willing
filly	willy
finding	winding
finds	winds
fired	wired
fires	wires
fishing	wishing
fitness	witness
foods	woods
forks	works
forms	worms
forth	worth
found	wound
founded	wounded



---------------------
      Null-g -- 22
---------------------
aunt	gaunt
chin	ching
ghost	host
ghosts	hosts
gland	land
glands	lands
glistening	listening
gloom	loom
glove	love
gloves	loves
grace	race
grain	rain
grains	rains
gripped	ripped
groom	room
gross	ross
ground	round
grounded	rounded
grounds	rounds
grows	rows
rankin	ranking
thin	thing



---------------------
      p-st -- 21
---------------------
honest	phone
latest	plate
packed	stacked
pages	stages
pains	stains
pairs	stairs
parted	started
parts	starts
paste	tastes
paying	staying
peering	steering
pension	tensions
picket	tickets
picking	sticking
power	towers
press	stress
pressed	stressed
presses	stresses
pressing	stressing
pride	stride
sheep	sheets



---------------------
      ino-s -- 21
---------------------
affection	affects
assertion	asserts
billion	bills
collection	collects
conception	concepts
contention	contents
contraction	contracts
direction	directs
election	select
exhibition	exhibits
faction	facts
million	mills
objection	objects
portion	sport
prevention	prevents
production	products
projection	projects
reflection	reflects
rejection	rejects
selection	selects
suggestion	suggests



---------------------
      flu-s -- 21
---------------------
careful	cares
colorful	colors
doubtful	doubts
fearful	fears
fills	fulfill
forceful	forces
fruitful	fruits
handful	hands
helpful	helps
hopeful	hopes
meaningful	meanings
mindful	minds
painful	pains
painful	spain
powerful	powers
skillful	skills
thankful	thanks
thoughtful	thoughts
wasteful	wastes
wonderful	wonders
youthful	youths



---------------------
      gin-y -- 21
---------------------
assembling	assembly
chilling	chilly
counting	county
delivering	delivery
discovering	discovery
dusting	dusty
filling	filly
handing	handy
inquiring	inquiry
ironing	irony
needing	needy
raining	rainy
reading	ready
rocking	rocky
shaking	shaky
sleeping	sleepy
smoking	smoky
sticking	sticky
treating	treaty
wearing	weary
willing	willy



---------------------
      abel-gin -- 21
---------------------
acceptable	accepting
agreeable	agreeing
allowable	allowing
comfortable	comforting
comparable	comparing
considerable	considering
dependable	depending
desirable	desiring
detectable	detecting
honorable	honoring
measurable	measuring
obtainable	obtaining
practicable	practicing
predictable	predicting
probable	probing
questionable	questioning
reasonable	reasoning
recognizable	recognizing
respectable	respecting
understandable	understanding
workable	working



---------------------
      emnt-s -- 21
---------------------
achievement	achieves
advancement	advances
agreement	agrees
basement	bases
confinement	confines
development	develops
employment	employs
encouragement	encourages
engagement	engages
enjoyment	enjoys
improvement	improves
involvement	involves
measurement	measures
mentally	sally
movement	moves
placement	places
recruitment	recruits
replacement	replaces
requirement	requires
statement	states
treatment	treats



---------------------
      Null-cmo -- 21
---------------------
comfort	fort
commission	mission
commissions	missions
commotion	motion
compact	pact
compass	pass
compassion	passion
compete	pete
competition	petition
compiled	piled
complain	plain
compose	pose
composed	posed
composition	position
compositions	positions
compost	post
compound	pound
compounds	pounds
compressed	pressed
compromise	promise
king	mocking



---------------------
      de-ors -- 21
---------------------
advised	advisors
collected	collectors
contributed	contributors
directed	directors
edited	editors
educated	educators
generated	generators
governed	governors
indicated	indicators
invested	investors
investigated	investigators
leaned	orleans
operated	operators
pasted	pastors
professed	professors
reacted	reactors
resisted	resistors
sailed	sailors
sensed	sensors
survived	survivors
visited	visitors



---------------------
      Null-ht -- 21
---------------------
bread	breadth
ears	hearst
eighteen	eighteenth
fifteen	fifteenth
four	fourth
grow	growth
honest	ones
inner	thinner
nineteen	nineteenth
ought	thought
read	thread
reads	threads
rough	through
rows	throws
rust	thrust
seven	seventh
seventeen	seventeenth
sixteen	sixteenth
steal	stealth
thunder	under
warm	warmth



---------------------
      Null-or -- 20
---------------------
bits	orbits
cast	castro
collect	collector
conduct	conductor
contract	contractor
direct	director
fact	factor
govern	governor
inspect	inspector
invent	inventor
live	oliver
monte	montero
past	pastor
profess	professor
react	reactor
rousing	using
sail	sailor
success	successor
tract	tractor
visit	visitor



---------------------
      de-in -- 20
---------------------
corrected	incorrect
decrease	increase
decreased	increased
decreases	increases
dedicated	indicated
dedication	indication
deduced	induced
deduction	induction
deformation	information
described	inscribed
description	inscription
desert	insert
deserted	inserted
destruction	instruction
directed	indirect
edward	inward
evolved	involve
formed	inform
insight	sighted
intend	tended



---------------------
      emnt-gin -- 20
---------------------
abandoning	abandonment
adjusting	adjustment
agreeing	agreement
arguing	argument
assessing	assessment
assigning	assignment
astonishing	astonishment
attaining	attainment
departing	department
developing	development
disappointing	disappointment
embarrassing	embarrassment
employing	employment
enjoying	enjoyment
entertaining	entertainment
establishing	establishment
governing	government
installing	installment
judging	judgment
treating	treatment



---------------------
      deer-s -- 20
---------------------
calls	recalled
centered	cents
centered	scent
covers	recovered
designer	signs
marks	remarked
members	remembered
minds	reminded
pairs	repaired
presents	represented
repelled	spell
reported	sport
resigned	signs
resorted	sorts
restrained	strains
retained	stain
retreated	treats
returned	turns
